session,group,ppt,status,continue,L1_bsl,prior_BSL,age_s1,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp,comments
1,grant,WV2111,withdrew,0,check,check,20,0.7,0.76,0.73,6,54,9,5.5,42,20,0.48,39,37,0.95,6,0.7,4.25,NA,NA,0.49,2530,NA,NA,NA,NA,38,0.84,tbc,tbc,NA,NA,NA,NA,NA,NA,
2,pilot,HW001,continuing,1,0,1,18,0.73,0.73,0.73,5,40,8,5,42,30,0.71,46,36,0.69,NA,NA,NA,0.88,3193,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,68,NA,
2,pilot,HW005,withdrew,0,0,0,?,0.68,0.68,0.68,6,60,10,6,42,34,0.81,42,40,0.93,NA,NA,NA,0.97,2036,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,63,NA,
2,pilot,HW006,withdrew,0,0,0,18,0.75,0.73,0.74,6,60,10,6,39,29,0.74,43,41,0.93,NA,NA,NA,0.89,2808,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,60,NA,
2,pilot,HW007,withdrew,0,0,0,?,0.79,0.75,0.77,6,60,10,6,38,28,0.74,43,42,0.97,NA,NA,NA,0.91,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,64,NA,
2,pilot,HW008,withdrew,0,0,0,?,0.75,0.78,0.76,8,80,10,6,38,30,0.79,46,46,1,NA,NA,NA,0.97,2351,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,63,NA,
2,pilot,HW013,continuing,1,0,1,17,0.68,0.7,0.69,8,96,12,7,42,29,0.69,46,39,0.78,NA,NA,NA,0.8,2122,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,68,NA,
2,pilot,HW015,withdrew,0,0,0,32,0.71,0.71,0.71,6,48,8,5,42,34,0.81,42,38,0.86,NA,NA,NA,0.76,1589,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,74,NA,
2,pilot,HW020,withdrew,0,0,1,17,0.68,0.76,0.72,8,80,10,6,42,33,0.79,46,40,0.81,NA,NA,NA,0.92,1578,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,60,NA,
2,pilot,HW025,continuing,1,1,1,18,0.68,0.7,0.69,5,40,8,5,32,28,0.88,39,38,0.96,NA,NA,NA,0.96,5288,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,74,NA,
